Frequency_Hz,Gain_dB,Phase_deg
1191970.71,86.0289162,0.091054196
1219764.27,86.0294881,0.0945560753
1248205.89,86.0300869,0.0982389665
1277310.7,86.0307139,0.102114205
1307094.16,86.0313704,0.106193904
1337572.08,86.0320577,0.110491007
1368760.67,86.0327774,0.115019343
1400676.49,86.0335309,0.1197937
1433336.51,86.0343198,0.124829883
1466758.06,86.0351458,0.130144789
1500958.92,86.0360106,0.135756487
1535957.25,86.036916,0.141684299
1571771.65,86.037864,0.147948888
1608421.14,86.0388564,0.154572358
1645925.2,86.0398954,0.161578353
1684303.76,86.0409832,0.168992167
1723577.2,86.042122,0.176840864
1763766.39,86.0433142,0.185153402
1804892.68,86.0445623,0.19396077
1846977.93,86.0458689,0.203296134
1890044.5,86.0472367,0.213194992
1934115.26,86.0486685,0.22369534
1979213.63,86.0501673,0.234837853
2025363.57,86.0517362,0.246666076
2072589.61,86.0533785,0.259226632
2120916.84,86.0550975,0.27256944
2170370.92,86.0568967,0.286747958
2220978.14,86.05878,0.301819432
2272765.38,86.060751,0.31784517
2325760.17,86.0628139,0.334890839
2379990.65,86.0649729,0.353026774
2435485.64,86.0672323,0.372328321
2492274.62,86.0695967,0.392876195
2550387.77,86.0720709,0.41475687
2609855.96,86.0746599,0.438062996
2670710.79,86.0773688,0.462893847
2732984.6,86.080203,0.489355802
2796710.46,86.0831683,0.51756286
2861922.23,86.0862703,0.547637194
2928654.57,86.0895153,0.579709746
2996942.93,86.0929096,0.613920867
3066823.59,86.0964596,0.650420999
3138333.68,86.1001723,0.689371418
3211511.19,86.1040548,0.730945016
3286395.0,86.1081143,0.775327159
3363024.91,86.1123585,0.822716595
3441441.61,86.1167953,0.873326436
3521686.79,86.1214327,0.927385211
3603803.07,86.1262792,0.985137998
3687834.07,86.1313434,1.04684764
3773824.46,86.1366341,1.11279605
3861819.91,86.1421606,1.18328562
3951867.18,86.147932,1.25864072
4044014.1,86.1539581,1.33920934
4138309.65,86.1602483,1.4253648
4234803.92,86.1668128,1.51750767
4333548.17,86.1736613,1.61606773
4434594.87,86.180804,1.72150618
4537997.71,86.188251,1.83431793
4643811.63,86.1960121,1.95503413
4752092.84,86.2040973,2.08422482
4862898.88,86.2125163,2.22250185
4976288.62,86.2212783,2.37052194
5092322.31,86.2303923,2.52899004
5211061.59,86.2398665,2.69866288
5332569.55,86.2497084,2.88035279
5456910.74,86.2599244,3.07493182
5584151.25,86.2705198,3.28333613
5714358.65,86.2814984,3.50657073
5847602.15,86.292862,3.74571446
5983952.52,86.3046103,4.00192543
6123482.22,86.3167404,4.27644674
6266265.38,86.3292458,4.57061259
6412377.86,86.3421168,4.88585482
6561897.29,86.3553388,5.2237098
6714903.1,86.3688921,5.58582572
6871476.61,86.3827507,5.97397032
7031700.99,86.3968814,6.39003894
7195661.37,86.4112424,6.83606304
7363444.86,86.4257821,7.31421889
7535140.62,86.4404372,7.82683669
7710839.86,86.4551311,8.37640978
7890635.93,86.4697714,8.96560397
8074624.37,86.4842478,9.59726678
8262902.92,86.4984292,10.2744365
8455571.62,86.5121602,11.0003505
8652732.84,86.5252579,11.7784532
8854491.33,86.5375073,12.6124022
9060954.28,86.5486571,13.5060733
9272231.4,86.5584141,14.4635625
9488434.93,86.5664377,15.4891856
9709679.74,86.5723331,16.5874733
9936083.39,86.5756443,17.7631613
10167766.2,86.5758463,19.0211743
10404851.2,86.572337,20.366602
10647464.3,86.5644278,21.8046654
10895734.6,86.551335,23.3406726
11149793.9,86.5321698,24.9799606
