Frequency_Hz,Gain_dB,Phase_deg
85113.8038,86.0166383,0.00604159332
87096.359,86.0166473,0.00614834692
89125.0938,86.0166565,0.00625645226
91201.0839,86.0166658,0.00636595664
93325.4301,86.0166753,0.00647689783
95499.2586,86.016685,0.00658932467
97723.7221,86.0166948,0.00670328499
100000.0,86.0167048,0.00681885405
102329.299,86.016715,0.00693607417
104712.855,86.0167253,0.00705502289
107151.931,86.0167358,0.00717579967
109647.82,86.0167465,0.00729844063
112201.845,86.0167573,0.0074230828
114815.362,86.0167683,0.00754978909
117489.755,86.0167794,0.0076786654
120226.443,86.0167907,0.00780983398
123026.877,86.0168022,0.00794339945
125892.541,86.0168139,0.00807947706
128824.955,86.0168257,0.00821821124
131825.674,86.0168377,0.0083597108
134896.288,86.0168499,0.00850414735
138038.426,86.0168623,0.00865164922
141253.754,86.016875,0.00880233189
144543.977,86.0168878,0.00895643067
147910.839,86.0169009,0.0091140252
151356.125,86.0169142,0.00927531933
154881.662,86.0169277,0.00944051649
158489.319,86.0169416,0.0096097586
162181.01,86.0169557,0.0097832198
165958.691,86.0169702,0.00996108414
169824.365,86.0169849,0.0101435854
173780.083,86.0170001,0.0103308607
177827.941,86.0170156,0.0105231545
181970.086,86.0170315,0.0107206362
186208.714,86.0170479,0.0109235349
190546.072,86.0170647,0.0111320289
194984.46,86.017082,0.0113463438
199526.231,86.0170998,0.0115666843
204173.794,86.0171182,0.0117933038
208929.613,86.0171372,0.012026403
213796.209,86.0171569,0.0122661949
218776.162,86.0171772,0.0125129319
223872.114,86.0171983,0.0127668243
229086.765,86.0172201,0.0130281367
234422.882,86.0172428,0.0132971025
239883.292,86.0172663,0.0135739582
245470.892,86.0172907,0.0138589573
251188.643,86.0173161,0.0141524021
257039.578,86.0173426,0.0144544767
263026.799,86.0173701,0.0147655383
269153.48,86.0173988,0.0150858067
275422.87,86.0174288,0.0154156083
281838.293,86.01746,0.0157552055
288403.15,86.0174925,0.016104951
295120.923,86.0175265,0.0164651359
301995.172,86.017562,0.016836078
309029.543,86.0175991,0.0172181294
316227.766,86.0176379,0.0176116692
323593.657,86.0176784,0.0180170336
331131.121,86.0177208,0.018434619
338844.156,86.0177651,0.0188648112
346736.85,86.0178114,0.0193080243
354813.389,86.0178599,0.0197647386
363078.055,86.0179106,0.0202353678
371535.229,86.0179637,0.0207203888
380189.396,86.0180193,0.0212203372
389045.145,86.0180775,0.0217356987
398107.171,86.0181383,0.0222670469
407380.278,86.0182021,0.0228149587
416869.383,86.0182688,0.0233800353
426579.519,86.0183386,0.0239629168
436515.832,86.0184118,0.0245642785
446683.592,86.0184884,0.0251848229
457088.19,86.0185686,0.0258253179
467735.141,86.0186525,0.0264865398
478630.092,86.0187405,0.0271693284
489778.819,86.0188326,0.0278745445
501187.234,86.018929,0.0286031341
512861.384,86.01903,0.0293560722
524807.46,86.0191357,0.0301343941
537031.796,86.0192465,0.0309391969
549540.874,86.0193625,0.0317716359
562341.325,86.0194839,0.0326329427
575439.937,86.0196111,0.0335244252
588843.655,86.0197443,0.0344474486
602559.586,86.0198837,0.0354034782
616595.002,86.0200298,0.0363940588
630957.344,86.0201828,0.037420832
645654.229,86.0203429,0.0384855361
660693.448,86.0205106,0.0395900174
676082.975,86.0206863,0.0407362356
691830.971,86.0208702,0.0419262742
707945.784,86.0210628,0.0431623388
724435.96,86.0212645,0.0444467836
741310.241,86.0214757,0.0457821054
758577.575,86.0216968,0.0471709512
776247.117,86.0219284,0.0486161506
794328.235,86.0221708,0.0501207001
812830.516,86.0224247,0.0516877969
831763.771,86.0226906,0.0533208404
851138.038,86.022969,0.0550234479
870963.59,86.0232605,0.0567994752
891250.938,86.0235657,0.0586530261
912010.839,86.0238853,0.0605884723
933254.301,86.02422,0.0626104735
954992.586,86.0245704,0.0647239967
977237.221,86.0249373,0.0669343357
1000000.0,86.0253214,0.0692471333
1023292.99,86.0257237,0.071668412
1047128.55,86.0261448,0.0742045913
1071519.31,86.0265858,0.0768625237
1096478.2,86.0270475,0.0796495184
1122018.45,86.027531,0.0825733791
1148153.62,86.0280371,0.0856424324
1174897.55,86.0285671,0.0888655723
1202264.43,86.029122,0.0922522913
1230268.77,86.0297029,0.0958127312
1258925.41,86.0303112,0.099557721
1288249.55,86.030948,0.103498833
1318256.74,86.0316148,0.107648428
1348962.88,86.0323128,0.112019717
1380384.26,86.0330437,0.116626817
1412537.54,86.0338089,0.121484817
1445439.77,86.03461,0.126609849
1479108.39,86.0354487,0.132019158
1513561.25,86.0363267,0.137731183
1548816.62,86.0372459,0.143765643
1584893.19,86.0382083,0.150143625
1621810.1,86.0392158,0.156887685
